City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Hofn,IS,2021-12-28 01:51:54,64.2539,-15.2082,29.35,65,0,19.8
173,Iquitos,PE,2021-12-28 01:51:54,-3.7481,-73.2472,77.04,88,40,2.3
174,Cherskiy,RU,2021-12-28 01:51:55,68.75,161.3,-45.08,100,98,2.13
175,Faanui,PF,2021-12-28 01:51:55,-16.4833,-151.75,80.65,64,33,2.75
176,Moratuwa,LK,2021-12-28 01:51:56,6.773,79.8816,71.62,83,59,6.55
177,Brownsville,US,2021-12-28 01:51:56,25.9018,-97.4975,74.08,87,1,7.0
178,Whitianga,NZ,2021-12-28 01:51:57,-36.8333,175.7,65.5,97,100,7.14
179,Cizre,TR,2021-12-28 01:51:57,37.3272,42.1903,41.04,49,69,3.4
180,Waingapu,ID,2021-12-28 01:51:57,-9.6567,120.2641,87.35,64,23,10.38
181,Umtata,ZA,2021-12-28 01:51:58,-31.5889,28.7844,59.43,93,80,6.93
182,Strezhevoy,RU,2021-12-28 01:51:58,60.7333,77.5889,6.78,93,100,9.6
183,Margate,GB,2021-12-28 01:51:59,51.3813,1.3862,52.88,94,100,4.0
184,Riyadh,SA,2021-12-28 01:48:51,24.6877,46.7219,50.14,35,100,6.8
185,Rio Grande,BR,2021-12-28 01:52:59,-32.035,-52.0986,67.24,68,0,7.47
186,Port Macquarie,AU,2021-12-28 01:53:00,-31.4333,152.9167,69.76,62,100,11.77
187,Ashibetsu,JP,2021-12-28 01:53:00,43.5097,142.1856,14.81,85,68,2.95
188,Clyde River,CA,2021-12-28 01:53:00,70.4692,-68.5914,-14.57,70,84,5.75
189,Chuy,UY,2021-12-28 01:53:01,-33.6971,-53.4616,61.79,84,0,4.36
190,Guerrero Negro,MX,2021-12-28 01:53:01,27.9769,-114.0611,59.11,65,100,17.34
191,Lebu,CL,2021-12-28 01:53:02,-37.6167,-73.65,59.45,81,98,18.99
192,Nelson Bay,AU,2021-12-28 01:53:02,-32.7167,152.15,72.28,57,73,3.0
193,Hervey Bay,AU,2021-12-28 01:53:03,-25.2986,152.8535,83.03,76,11,17.67
194,Alpatovo,RU,2021-12-28 01:53:03,43.7028,45.2415,30.97,91,88,2.1
195,Balkanabat,TM,2021-12-28 01:53:03,39.5108,54.3671,41.0,46,41,0.38
196,Karratha,AU,2021-12-28 01:53:04,-20.7377,116.8463,102.72,18,60,13.33
197,Necochea,AR,2021-12-28 01:53:04,-38.5473,-58.7368,64.24,62,30,9.51
198,Genhe,CN,2021-12-28 01:53:05,50.7833,121.5167,-2.47,92,100,1.99
199,Independence,US,2021-12-28 01:53:06,39.0911,-94.4155,42.28,53,1,1.99
200,Mitake,JP,2021-12-28 01:53:06,35.4167,137.1333,42.31,51,8,10.54
201,Marawi,PH,2021-12-28 01:53:06,7.9986,124.2928,72.64,75,100,4.09
202,Bengkulu,ID,2021-12-28 01:53:07,-3.8004,102.2655,82.47,70,99,2.53
203,Akola,IN,2021-12-28 01:53:07,20.7333,77.0,66.74,62,1,5.91
204,Seymchan,RU,2021-12-28 01:53:08,62.8833,152.4333,-22.49,91,100,6.91
205,Prince George,CA,2021-12-28 01:51:04,53.9166,-122.753,-18.96,76,1,2.3
206,Buala,SB,2021-12-28 01:53:08,-8.145,159.5921,79.57,88,100,7.85
207,Panlaitan,PH,2021-12-28 01:53:09,12.1191,119.8486,82.0,70,100,13.29
208,Arroyo,ES,2021-12-28 01:53:09,41.6096,-4.7969,49.89,86,40,13.8
209,Clermont,FR,2021-12-28 01:48:22,49.5,2.4167,50.16,89,95,13.2
210,Chokurdakh,RU,2021-12-28 01:53:10,70.6333,147.9167,-39.51,100,77,4.41
211,Fos-Sur-Mer,FR,2021-12-28 01:51:34,43.4377,4.9446,49.48,100,75,8.05
212,Namatanai,PG,2021-12-28 01:53:10,-3.6667,152.4333,85.87,69,95,9.26
213,Henties Bay,NA,2021-12-28 01:53:11,-22.116,14.2845,62.85,92,32,5.53
214,Kokkola,FI,2021-12-28 01:53:11,63.8385,23.1307,16.93,90,90,1.99
215,Hilo,US,2021-12-28 01:50:25,19.7297,-155.09,76.24,4,92,6.29
216,Fort Nelson,CA,2021-12-28 01:53:12,58.8053,-122.7002,0.36,97,100,0.81
217,Hithadhoo,MV,2021-12-28 01:53:12,-0.6,73.0833,81.07,75,97,8.88
218,Manokwari,ID,2021-12-28 01:53:13,-0.8667,134.0833,83.07,72,100,9.75
219,Lasa,IT,2021-12-28 01:53:13,46.6166,10.7002,38.66,87,90,0.38
220,Bagru,IN,2021-12-28 01:53:13,26.8088,75.5423,59.34,76,100,3.8
221,Comodoro Rivadavia,AR,2021-12-28 01:53:14,-45.8667,-67.5,62.46,77,0,5.75
222,Avera,US,2021-12-28 01:53:14,33.194,-82.5271,66.38,69,100,10.49
223,Coquimbo,CL,2021-12-28 01:53:15,-29.9533,-71.3436,64.13,77,40,6.91
224,Carnarvon,AU,2021-12-28 01:53:15,-24.8667,113.6333,100.47,13,51,14.97
225,Kudahuvadhoo,MV,2021-12-28 01:53:16,2.6708,72.8944,81.19,74,67,11.27
226,Haapiti,PF,2021-12-28 01:53:16,-17.5667,-149.8667,78.53,69,100,5.41
227,Torbay,CA,2021-12-28 01:53:17,47.6666,-52.7314,36.75,96,90,26.46
228,Cauquenes,CL,2021-12-28 01:53:17,-35.9671,-72.3225,68.5,44,100,4.61
229,Hambantota,LK,2021-12-28 01:53:18,6.1241,81.1185,73.74,100,83,6.91
230,Mountain Home,US,2021-12-28 01:54:18,43.133,-115.6912,23.74,100,90,8.05
231,Ryotsu,JP,2021-12-28 01:54:18,38.0833,138.4333,35.56,75,100,20.96
232,Esperance,AU,2021-12-28 01:54:19,-33.8667,121.9,69.64,50,0,12.88
233,Vanderhoof,CA,2021-12-28 01:54:19,54.0166,-124.0198,-10.08,99,100,1.43
234,Sosnovo-Ozerskoye,RU,2021-12-28 01:54:19,52.5249,111.5418,-8.82,99,97,6.91
235,Bambous Virieux,MU,2021-12-28 01:54:20,-20.3428,57.7575,75.45,88,40,0.0
236,Koslan,RU,2021-12-28 01:54:20,63.4564,48.8989,-18.89,100,91,4.36
