City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Klyuchi,RU,52.2667,79.1667,16.66,75,100,11.63,overcast clouds
191,Kruisfontein,ZA,-34.0033,24.7314,62.89,90,100,5.75,overcast clouds
192,Hanmer Springs,NZ,-42.5167,172.8167,63.84,55,89,4.7,overcast clouds
193,Omboue,GA,-1.5746,9.2618,75.99,92,100,4.94,moderate rain
194,La Ronge,CA,55.1001,-105.2842,-25.35,68,1,0.0,clear sky
195,Antofagasta,CL,-23.65,-70.4,67.28,79,53,6.85,broken clouds
196,Guerrero Negro,MX,27.9769,-114.0611,58.42,62,99,7.99,overcast clouds
197,Pangnirtung,CA,66.1451,-65.7125,-2.38,71,70,4.74,broken clouds
198,Kodiak,US,57.79,-152.4072,38.91,73,92,4.41,overcast clouds
199,Severo-Kurilsk,RU,50.6789,156.125,29.93,75,100,27.4,overcast clouds
200,Price,US,39.5994,-110.8107,24.12,79,20,5.75,few clouds
201,San Quintin,MX,30.4833,-115.95,57.13,69,69,10.96,broken clouds
202,Alice Springs,AU,-23.7,133.8833,89.15,11,0,14.97,clear sky
203,Dhidhdhoo,MV,6.8833,73.1,80.44,62,51,8.79,broken clouds
204,Luba,GQ,3.4568,8.5547,75.09,78,100,5.91,light rain
205,Flin Flon,CA,54.7682,-101.865,-17.95,99,77,2.08,broken clouds
206,Bengkulu,ID,-3.8004,102.2655,76.53,86,100,4.07,overcast clouds
207,Shelburne,CA,44.0787,-80.2041,30.09,86,100,1.83,overcast clouds
208,Katsuura,JP,35.1333,140.3,41.14,59,96,6.49,overcast clouds
209,Torres,BR,-29.3353,-49.7269,71.83,88,47,5.59,scattered clouds
210,New Norfolk,AU,-42.7826,147.0587,79.66,22,14,5.01,few clouds
211,Mahibadhoo,MV,3.7833,72.9667,81.82,68,62,15.84,broken clouds
212,Viedma,AR,-40.8135,-62.9967,70.23,60,100,17.9,overcast clouds
213,Hukay,PH,13.8452,120.7029,78.94,74,100,20.49,overcast clouds
214,Poum,NC,-20.2333,164.0167,81.82,78,98,6.29,overcast clouds
215,Ures,MX,29.4333,-110.4,60.28,43,98,7.58,overcast clouds
216,Dhanwar,IN,24.4167,85.9833,57.22,92,100,14.72,overcast clouds
217,Vila Velha,BR,-20.3297,-40.2925,78.94,89,20,7.0,few clouds
218,Mogadishu,SO,2.0371,45.3438,75.9,78,57,16.93,broken clouds
219,Hasaki,JP,35.7333,140.8333,43.09,46,79,2.21,broken clouds
220,Livadiya,RU,42.8692,132.6764,23.0,76,8,8.19,clear sky
221,Georgetown,MY,5.4112,100.3354,82.33,73,20,3.44,few clouds
222,Jertih,MY,5.7336,102.4897,80.47,90,75,2.21,broken clouds
223,Krasnoyarskiy,RU,51.965,59.8967,-15.34,100,5,4.29,clear sky
224,Quang Ngai,VN,15.1167,108.8,72.23,91,91,5.95,overcast clouds
225,Singaraja,ID,-8.112,115.0882,84.25,69,23,1.32,few clouds
226,Ossora,RU,59.2353,163.0719,5.27,94,100,11.3,light snow
227,Yatou,CN,37.15,122.3833,32.74,58,2,9.69,clear sky
228,Lebu,CL,-37.6167,-73.65,56.55,89,19,6.85,few clouds
229,Samarai,PG,-10.6167,150.6667,86.5,71,97,13.49,overcast clouds
230,Concarneau,FR,47.875,-3.9225,57.81,97,100,19.24,overcast clouds
231,Khandagayty,RU,50.7333,92.05,-10.91,98,99,2.77,overcast clouds
232,Omsukchan,RU,62.5333,155.8,-24.65,98,100,7.99,light snow
233,Muzaffarabad,PK,34.37,73.4711,40.62,44,0,6.89,clear sky
234,Jabinyanah,TN,35.035,10.9081,57.78,66,6,7.83,clear sky
235,Salumbar,IN,24.1333,74.05,58.48,92,0,5.59,clear sky
236,Ambulu,ID,-8.345,113.6058,82.04,76,24,3.51,few clouds
237,San Juan,AR,-31.5375,-68.5364,85.82,29,12,17.31,few clouds
238,Usinsk,RU,65.9939,57.5281,-7.64,98,100,13.33,overcast clouds
239,George Town,MY,5.4112,100.3354,82.33,77,20,0.0,few clouds
240,Charters Towers,AU,-20.1,146.2667,73.33,84,100,9.86,moderate rain
241,Port Lincoln,AU,-34.7333,135.8667,69.78,63,0,14.23,clear sky
242,Tual,ID,-5.6667,132.75,82.98,76,100,19.75,overcast clouds
243,Narsaq,GL,60.9167,-46.05,19.62,54,0,7.02,clear sky
244,Port Augusta,AU,-32.5,137.7667,91.71,26,0,7.74,clear sky
245,Sokode,TG,8.9833,1.1333,73.81,24,79,3.02,broken clouds
246,Wawa,NG,9.9022,4.4192,74.41,28,32,4.5,scattered clouds
247,Anadyr,RU,64.75,177.4833,0.1,77,75,25.99,light snow
248,Bima,ID,-8.4667,118.7167,84.38,74,16,1.03,few clouds
249,Auki,SB,-8.7676,160.7034,85.64,70,81,7.02,broken clouds
250,Huanren,CN,41.2647,125.3667,19.49,87,100,4.38,overcast clouds
251,Pachino,IT,36.7186,15.0907,44.64,71,6,12.71,clear sky
252,Ulaangom,MN,49.9811,92.0667,-17.14,94,95,2.75,overcast clouds
